id,name,source_family,source_id_type,public_visible,search_visible,has_seats,has_cutoffs,has_fees,has_placements,truth_density_score,recommended_surface,reason
"CORE-GATI-SHAKTI-VISHWAVIDYALAYA-VADODARA","Gati Shakti Vishwavidyalaya, Vadodara","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-GHANI-KHAN-CHOUDHURY-INSTITUTE-OF-ENGINEERING-TECHNOLOGY-KOTWALI-MALDA","GHANI KHAN CHOUDHURY INSTITUTE OF ENGINEERING & TECHNOLOGY, KOTWALI, MALDA","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-GURUKULA-KANGRI-VISHWAVIDYALAYA-HARIDWAR","Gurukula Kangri Vishwavidyalaya, Haridwar","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-INDIAN-INSTITUTE-OF-CARPET-TECHNOLOGY-BHADOHI","INDIAN INSTITUTE OF CARPET TECHNOLOGY, BHADOHI","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-INDIAN-INSTITUTE-OF-HANDLOOM-TECHNOLOGY-SALEM","INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, SALEM","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-IIIT-TECHNOLOGY","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHAGALPUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-IIIT-RAICHUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-SURAT","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-IIIT-VADODARA","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-INDIAN-INSTITUTE-OF-INFORMATION-TECHNOLOGY-GUWAHATI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","OTHER","CORE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","25","MOVE_TO_SEARCH_ONLY","Insufficient truth for public cohort"
"CORE-IIIT-KALYANI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI","OTHER","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Verified truth available"
"CORE-IIIT-AGARTALA","Indian Institute of Information Technology Agartala","IIIT","CORE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","75","KEEP_PUBLIC_CERTIFIED","Elite flagship with verified truth data"
