id,stableKey,name,state,city,aisheCode,website_present,courses_present,fees_present,fees_verified,rankings_present,placements_present,seats_present,cutoffs_present,source_metadata_present,truth_grade,frontend_fee_visible,frontend_placement_visible,frontend_ranking_visible,num_courses,num_rankings,num_placement_fields,num_fee_fields,num_cutoffs,num_seats
"C-11017","C-11017","Abasaheb Garware Institute of Management Studies S.T. Stand, Khanbhag,","Maharashtra","","C-11017","true","","true","","true","","","","true","legacy","true","","true","","1","","6","",""
"C-11018","C-11018","Karmaveer Bhaurao Patil  College of Engineering, Satara","Maharashtra","","C-11018","true","true","true","true","","true","","","true","official_verified","true","","","78","","1","6","",""
"C-11019","C-11019","Shikshanshastra Mahavidyalaya,KAGAL","Maharashtra","","C-11019","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11020","C-11020","Adarsh  College,  VITA","Maharashtra","","C-11020","true","true","true","","","true","","","true","legacy","true","","","6","","1","6","",""
"C-11021","C-11021","Dhananjay Mahadik Group of Institutions Faculty of Engineering,  Vikaswadi, Kagal","Maharashtra","","C-11021","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-33442","C-33442","A.P.N. College, Sadar, Jabalpur","Madhya Pradesh","","C-33442","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11022","C-11022","Shri Venkatesh Mahavidyalaya, ICHALKARANJI","Maharashtra","","C-11022","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11023","C-11023","Padmabhushan Dr. Krantiveer Nagnathanna Naikwadi Kala Mahavidyalaya, Zare, Tal. Atpadi Dist. Sangli","Maharashtra","","C-11023","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11024","C-11024","Chhatrapati Shivaji College","Maharashtra","","C-11024","true","true","true","","","true","","","true","legacy","true","","","42","","1","6","",""
"C-11025","C-11025","Shripatrao Kadam Mahavidyalaya, SHIRVAL","Maharashtra","","C-11025","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11026","C-11026","Padmabhushan Vasantraodada Patil Mahavidyalaya,  KAVATHE-MAHANKAL","Maharashtra","","C-11026","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11028","C-11028","Special Education (Hearing Empered) Adhayapak Maha., Near Govt, Doodh Dairy, Miraj","Maharashtra","","C-11028","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-1103","C-1103","Anandbawa Vedant Sanskrit Mahavidyalaya, Dhorivav","Gujarat","","C-1103","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11030","C-11030","Satara College of Pharmacy","Maharashtra","","C-11030","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11031","C-11031","Bharati Vidyapeeth's New Law College, Rajwada Chowk, Sangli","Maharashtra","","C-11031","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11032","C-11032","Chh. Shivaji College of Education, Rukadi","Maharashtra","","C-11032","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-33514","C-33514","Indira gandhi institute of development research","Maharashtra","","C-33514","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11033","C-11033","Late Narayandas Bhavandas Chabada Institute of Engineering & Technology","Maharashtra","","C-11033","true","","true","true","","true","","","true","official_verified","true","","","","","1","6","",""
"C-11034","C-11034","Tatyasaheb Kore Shikshanshastra Mahavidyala, Warananagar,","Maharashtra","","C-11034","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
