cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year
CEI-IN-08C40D94DBD0,UMA MAHESWARA SCHOOL OF NURSING RAICHUR,Standalone,Karnataka,Raichur,,2020-21,VERIFIED,S-4383,,2004
CEI-IN-4B2803CB202F,OXFORD (EVENING) POLYTECHNIC BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-1378,,1992
CEI-IN-9ED3CD17B74F,S S G POLYTECHNIC JEVARGI,Standalone,Karnataka,Kalaburagi,,2020-21,VERIFIED,S-1410,,1985
CEI-IN-DB7599E5B4F5,SREE BAHUBALI POLYTECHNIC SHRAVANABELAGOLA,Standalone,Karnataka,Hassan,,2020-21,VERIFIED,S-1445,,1986
CEI-IN-4FA366C64470,Samruddi Para Medical College,Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-17706,,2018
CEI-IN-F4BEBB0EEE39,FOOD CRAFT INSTITUTE (KARNATAKA) SOCIETY,Standalone,Karnataka,Mysuru,,2020-21,VERIFIED,S-17935,,2010
CEI-IN-A7860C1E25C3,GOVT TOOL ROOM And TRAINING CENTRE- GUNDLUPET,Standalone,Karnataka,Chamarajanagar,,2020-21,VERIFIED,S-18168,,2007
CEI-IN-261C6208BB91,SHRI BABA INSTITUTE OF NURSING SCIENCES HUBLI,Standalone,Karnataka,Dharwad,,2020-21,VERIFIED,S-4284,,2001
CEI-IN-9D7C0AF877F8,SHREE BHAVANI SCHOOL OF NURSING BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4281,,2003
CEI-IN-2C545BD977BD,PAVANA SCHOOL OF NURSING BANGALORE URBAN,Standalone,Karnataka,Bengaluru Rural,,2020-21,VERIFIED,S-4204,,2004
CEI-IN-2AF6A2DACE9E,ADARSH PARA MEDICAL INSTITUTE TIKOTA,Standalone,Karnataka,Vijayapura,,2020-21,VERIFIED,S-18861,,-
CEI-IN-54E819EB7FD6,R L JALAPPA POLYTECHNIC,Standalone,Karnataka,Bengaluru Rural,,2020-21,VERIFIED,S-17613,,2016
CEI-IN-E1E56D0EAEE9,NIRMALA RAMANA NURSING SCHOOL KODAGU,Standalone,Karnataka,Kodagu,,2020-21,VERIFIED,S-4182,,2005
CEI-IN-56692EFB5B67,NETHAJI SCHOOL OF NURSING DAKSHINA KANNADA,Standalone,Karnataka,Dakshina Kannada,,2020-21,VERIFIED,S-4172,,2003
CEI-IN-6BAD2B97A26C,DISTRICT HOSPITAL KOPPALA,Standalone,Karnataka,Koppal,,2020-21,VERIFIED,S-18611,,-
CEI-IN-F430644CF4D5,SRI SIDDESHWARA PARA MEDICAL COLLEGE,Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-18727,,-
CEI-IN-B50591F3A089,AROGYADHAMA INSTITUTE OF PARA MEDICAL SCIENCES,Standalone,Karnataka,Shivamogga,,2020-21,VERIFIED,S-18718,,-
