frontend_route_id,catalog_id,canonical_core_id,normalized_name,seat_matrix_id,engineering_cutoffs_id,resolver_output_id,mismatch_type,risk_level,recommended_fix
"CORE-AICTE-1-44643681436","CORE-AICTE-1-44643681436","CORE-AICTE-1-44643681436","AICTE Institution 1-44643681436","MISSING","MISSING","CORE-AICTE-1-44643681436","NONE","SAFE","None"
"CORE-AICTE-1-44643745827","CORE-AICTE-1-44643745827","CORE-AICTE-1-44643745827","AICTE Institution 1-44643745827","MISSING","MISSING","CORE-AICTE-1-44643745827","NONE","SAFE","None"
"CORE-AICTE-1-44643864170","CORE-AICTE-1-44643864170","CORE-AICTE-1-44643864170","AICTE Institution 1-44643864170","MISSING","MISSING","CORE-AICTE-1-44643864170","NONE","SAFE","None"
"CORE-ASSAM-UNIVERSITY-SILCHAR","CORE-ASSAM-UNIVERSITY-SILCHAR","CORE-ASSAM-UNIVERSITY-SILCHAR","Assam University, Silchar","Assam University, Silchar","Assam University, Silchar","CORE-ASSAM-UNIVERSITY-SILCHAR","NONE","SAFE","None"
"CORE-IIIT-GWALIOR","CORE-IIIT-GWALIOR","CORE-IIIT-GWALIOR","Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior","CORE-IIIT-GWALIOR","CORE-IIIT-GWALIOR","CORE-IIIT-GWALIOR","NONE","SAFE","None"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-DEOGHAR","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-DEOGHAR","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-DEOGHAR","Birla Institute of Technology, Deoghar Off-Campus","Birla Institute of Technology, Deoghar Off-Campus","Birla Institute of Technology, Deoghar Off-Campus","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-DEOGHAR","NONE","SAFE","None"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-PATNA","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-PATNA","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-PATNA","Birla Institute of Technology, Patna Off-Campus","Birla Institute of Technology, Patna Off-Campus","Birla Institute of Technology, Patna Off-Campus","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-PATNA","NONE","SAFE","None"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-RANCHI","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-RANCHI","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-RANCHI","Birla Institute of Technology, Ranchi","MISSING","MISSING","CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-RANCHI","NONE","SAFE","None"
"CORE-CENTRAL-UNIVERSITY-OF-HARYANA","CORE-CENTRAL-UNIVERSITY-OF-HARYANA","CORE-CENTRAL-UNIVERSITY-OF-HARYANA","Central University of Haryana","Central University of Haryana","Central University of Haryana","CORE-CENTRAL-UNIVERSITY-OF-HARYANA","NONE","SAFE","None"
"CORE-CENTRAL-UNIVERSITY-OF-JAMMU","CORE-CENTRAL-UNIVERSITY-OF-JAMMU","CORE-CENTRAL-UNIVERSITY-OF-JAMMU","Central University of Jammu","Central University of Jammu","Central University of Jammu","CORE-CENTRAL-UNIVERSITY-OF-JAMMU","NONE","SAFE","None"
"CORE-DR-B-R-AMBEDKAR-NATIONAL-INSTITUTE-OF-TECHNOLOGY-JALANDHAR","CORE-DR-B-R-AMBEDKAR-NATIONAL-INSTITUTE-OF-TECHNOLOGY-JALANDHAR","CORE-DR-B-R-AMBEDKAR-NATIONAL-INSTITUTE-OF-TECHNOLOGY-JALANDHAR","Dr. B. R. Ambedkar National Institute of Technology, Jalandhar","MISSING","MISSING","CORE-DR-B-R-AMBEDKAR-NATIONAL-INSTITUTE-OF-TECHNOLOGY-JALANDHAR","NONE","SAFE","None"
